lable,b_type,statistical_type,asset,symbol
ChainFaces Arena,nft,nft,ChainFaces Arena,ChainFaces Arena
Doomsday: Settlers of the Wasteland,nft,nft,Doomsday: Settlers of the Wasteland,Doomsday: Settlers of the Wasteland
Codex Record,nft,nft,Codex Record,Codex Record
The Abducting Collective: V3,nft,nft,The Abducting Collective: V3,The Abducting Collective: V3
Bitlady Maker,nft,nft,Bitlady Maker,Bitlady Maker
Deafbeef,nft,nft,Deafbeef,Deafbeef
a KID called BEAST,nft,nft,a KID called BEAST,a KID called BEAST
Metroverse City Block,nft,nft,Metroverse City Block,Metroverse City Block
Mutant Hound Collars,nft,nft,Mutant Hound Collars,Mutant Hound Collars
Flyfish Club,nft,nft,Flyfish Club,Flyfish Club
MERGE,nft,nft,MERGE,MERGE
Mutant Ape Yacht Club,nft,nft,Mutant Ape Yacht Club,Mutant Ape Yacht Club
Galxe ETH Merge NFT,nft,nft,Galxe ETH Merge NFT,Galxe ETH Merge NFT
Lil Pudgys,nft,nft,Lil Pudgys,Lil Pudgys
RENGA Black Box,nft,nft,RENGA Black Box,RENGA Black Box
Treeverse,nft,nft,Treeverse,Treeverse
ASMBrain,nft,nft,ASMBrain,ASMBrain
NameWrapper,nft,nft,NameWrapper,NameWrapper
MemeWhales,nft,nft,MemeWhales,MemeWhales
Beeple Special Edition,nft,nft,Beeple Special Edition,Beeple Special Edition
NFTBoxes,nft,nft,NFTBoxes,NFTBoxes
Zora,nft,nft,Zora,Zora
Wrapped Cryptopunks,nft,nft,Wrapped Cryptopunks,Wrapped Cryptopunks
PartyBear,nft,nft,PartyBear,PartyBear
Vitalik Pumps,nft,nft,Vitalik Pumps,Vitalik Pumps
OnChainShiba,nft,nft,OnChainShiba,OnChainShiba
Beeple Round 2 Open Edition,nft,nft,Beeple Round 2 Open Edition,Beeple Round 2 Open Edition
LoudPunx,nft,nft,LoudPunx,LoudPunx
MyCryptoHeroes:Extension,nft,nft,MyCryptoHeroes:Extension,MyCryptoHeroes:Extension
Kitty Crypto Gang,nft,nft,Kitty Crypto Gang,Kitty Crypto Gang
Goldfinch V2 Pool Tokens,nft,nft,Goldfinch V2 Pool Tokens,Goldfinch V2 Pool Tokens
Koda,nft,nft,Koda,Koda
THE PLUTO ALLIANCE,nft,nft,THE PLUTO ALLIANCE,THE PLUTO ALLIANCE
",Belvedere & arteQ - The Kiss by Gustav Klimt",nft,nft,",Belvedere & arteQ - The Kiss by Gustav Klimt",",Belvedere & arteQ - The Kiss by Gustav Klimt"
MidnightBreeze,nft,nft,MidnightBreeze,MidnightBreeze
KnownOriginDigitalAsset,nft,nft,KnownOriginDigitalAsset,KnownOriginDigitalAsset
Cold Blooded Creepz,nft,nft,Cold Blooded Creepz,Cold Blooded Creepz
CyberBrokers,nft,nft,CyberBrokers,CyberBrokers
Blitmap,nft,nft,Blitmap,Blitmap
Loot (for Adventurers),nft,nft,Loot (for Adventurers),Loot (for Adventurers)
The Real Vision Collective,nft,nft,The Real Vision Collective,The Real Vision Collective
NFT Worlds,nft,nft,NFT Worlds,NFT Worlds
BEEPLE - SPRING/SUMMER COLLECTION 2021,nft,nft,BEEPLE - SPRING/SUMMER COLLECTION 2021,BEEPLE - SPRING/SUMMER COLLECTION 2021
NFTrees,nft,nft,NFTrees,NFTrees
PROOF Collective,nft,nft,PROOF Collective,PROOF Collective
QUADHASH : Lion,nft,nft,QUADHASH : Lion,QUADHASH : Lion
Social BEES University,nft,nft,Social BEES University,Social BEES University
Wolf Game,nft,nft,Wolf Game,Wolf Game
Apes Together Strong,nft,nft,Apes Together Strong,Apes Together Strong
Blur Pool,nft,nft,Blur Pool,Blur Pool
CryptoNinjaPartners,nft,nft,CryptoNinjaPartners,CryptoNinjaPartners
Async Blueprints,nft,nft,Async Blueprints,Async Blueprints
Land of Valeria,nft,nft,Land of Valeria,Land of Valeria
XEN Torrent,nft,nft,XEN Torrent,XEN Torrent
Imaginary Ones,nft,nft,Imaginary Ones,Imaginary Ones
EkosGenesisArtCollection,nft,nft,EkosGenesisArtCollection,EkosGenesisArtCollection
Wolf Game - Genesis Land,nft,nft,Wolf Game - Genesis Land,Wolf Game - Genesis Land
ALTS by adidas,nft,nft,ALTS by adidas,ALTS by adidas
HV-MTL,nft,nft,HV-MTL,HV-MTL
Travel Tiger Club,nft,nft,Travel Tiger Club,Travel Tiger Club
Rainbow Zorb,nft,nft,Rainbow Zorb,Rainbow Zorb
DeepBlack,nft,nft,DeepBlack,DeepBlack
HAPEBADGE,nft,nft,HAPEBADGE,HAPEBADGE
SIGNATURE-TP,nft,nft,SIGNATURE-TP,SIGNATURE-TP
ASMAIFAAllStarsCharacter,nft,nft,ASMAIFAAllStarsCharacter,ASMAIFAAllStarsCharacter
Yearn Finance by Project Galaxy,nft,nft,Yearn Finance by Project Galaxy,Yearn Finance by Project Galaxy
dotbit: Web3 Identity,nft,nft,dotbit: Web3 Identity,dotbit: Web3 Identity
Chimpers,nft,nft,Chimpers,Chimpers
SuperRare,nft,nft,SuperRare,SuperRare
Moonbirds,nft,nft,Moonbirds,Moonbirds
goblintown,nft,nft,goblintown,goblintown
ENS: 10k Club,nft,nft,ENS: 10k Club,ENS: 10k Club
Mocaverse,nft,nft,Mocaverse,Mocaverse
CryptoDickbutts,nft,nft,CryptoDickbutts,CryptoDickbutts
Lost Tigerz,nft,nft,Lost Tigerz,Lost Tigerz
EtherPOAP OG,nft,nft,EtherPOAP OG,EtherPOAP OG
TopDogBeachClub,nft,nft,TopDogBeachClub,TopDogBeachClub
TheEnigma,nft,nft,TheEnigma,TheEnigma
DeBox Guardians Penguin,nft,nft,DeBox Guardians Penguin,DeBox Guardians Penguin
The SANDBOX LAND,nft,nft,The SANDBOX LAND,The SANDBOX LAND
Creepz by OVERLORD,nft,nft,Creepz by OVERLORD,Creepz by OVERLORD
RENGA,nft,nft,RENGA,RENGA
Impact Theory Founder's Key,nft,nft,Impact Theory Founder's Key,Impact Theory Founder's Key
VOX Series 2,nft,nft,VOX Series 2,VOX Series 2
Odos.xyz NFT Campaign V2.0,nft,nft,Odos.xyz NFT Campaign V2.0,Odos.xyz NFT Campaign V2.0
TOPIA Worlds,nft,nft,TOPIA Worlds,TOPIA Worlds
SuperFarm Genesis Series,nft,nft,SuperFarm Genesis Series,SuperFarm Genesis Series
LinksDAO,nft,nft,LinksDAO,LinksDAO
Rarible,nft,nft,Rarible,Rarible
Criteria,nft,nft,Criteria,Criteria
Hydro Whales Mining Club,nft,nft,Hydro Whales Mining Club,Hydro Whales Mining Club
QQL Mint Pass,nft,nft,QQL Mint Pass,QQL Mint Pass
VoltedDragonsSailorsClub,nft,nft,VoltedDragonsSailorsClub,VoltedDragonsSailorsClub
BEANZ Official,nft,nft,BEANZ Official,BEANZ Official
DOTs,nft,nft,DOTs,DOTs
Akutars,nft,nft,Akutars,Akutars
The Plague,nft,nft,The Plague,The Plague
!The Fungible Open Editions by Pak,nft,nft,!The Fungible Open Editions by Pak,!The Fungible Open Editions by Pak
Emblem Vault V4,nft,nft,Emblem Vault V4,Emblem Vault V4
CryptoSpells,nft,nft,CryptoSpells,CryptoSpells
Kubz,nft,nft,Kubz,Kubz
"Safe{Core}, Introduced",nft,nft,"Safe{Core}, Introduced","Safe{Core}, Introduced"
CryptoSkulls,nft,nft,CryptoSkulls,CryptoSkulls
YouAreTheChampion,nft,nft,YouAreTheChampion,YouAreTheChampion
World of Women Galaxy,nft,nft,World of Women Galaxy,World of Women Galaxy
CyberKongz VX,nft,nft,CyberKongz VX,CyberKongz VX
mfers,nft,nft,mfers,mfers
Grados,nft,nft,Grados,Grados
Async Art,nft,nft,Async Art,Async Art
KILLABEARS,nft,nft,KILLABEARS,KILLABEARS
OnChainMonkey,nft,nft,OnChainMonkey,OnChainMonkey
Grails III,nft,nft,Grails III,Grails III
Silks - Horse,nft,nft,Silks - Horse,Silks - Horse
DeadFellaz,nft,nft,DeadFellaz,DeadFellaz
MG Land,nft,nft,MG Land,MG Land
FLUF World: Burrows,nft,nft,FLUF World: Burrows,FLUF World: Burrows
Forgotten Runes Wizards Cult,nft,nft,Forgotten Runes Wizards Cult,Forgotten Runes Wizards Cult
More Loot,nft,nft,More Loot,More Loot
Wrapped Strikers,nft,nft,Wrapped Strikers,Wrapped Strikers
SHIB YARD,nft,nft,SHIB YARD,SHIB YARD
ElectricSheep,nft,nft,ElectricSheep,ElectricSheep
Ether Capsule,nft,nft,Ether Capsule,Ether Capsule
loomlocknft,nft,nft,loomlocknft,loomlocknft
Bi Decentralized Identity,nft,nft,Bi Decentralized Identity,Bi Decentralized Identity
Lazy Lions,nft,nft,Lazy Lions,Lazy Lions
Potatoz,nft,nft,Potatoz,Potatoz
ASMAIFAAllStarsBoxSet,nft,nft,ASMAIFAAllStarsBoxSet,ASMAIFAAllStarsBoxSet
Neo Tokyo Citizen,nft,nft,Neo Tokyo Citizen,Neo Tokyo Citizen
merge.,nft,nft,merge.,merge.
Habbo Avatars,nft,nft,Habbo Avatars,Habbo Avatars
XANA: LAND,nft,nft,XANA: LAND,XANA: LAND
Wolf Game - Farmer,nft,nft,Wolf Game - Farmer,Wolf Game - Farmer
DorTrafficMiner,nft,nft,DorTrafficMiner,DorTrafficMiner
Webaverse Genesis Pass,nft,nft,Webaverse Genesis Pass,Webaverse Genesis Pass
BrainDrops,nft,nft,BrainDrops,BrainDrops
Lost Poets,nft,nft,Lost Poets,Lost Poets
Rektguy,nft,nft,Rektguy,Rektguy
RugGenesis NFT,nft,nft,RugGenesis NFT,RugGenesis NFT
MechaBoki,nft,nft,MechaBoki,MechaBoki
Ethermore,nft,nft,Ethermore,Ethermore
Mutant Garden Seeder,nft,nft,Mutant Garden Seeder,Mutant Garden Seeder
Whiko NFT,nft,nft,Whiko NFT,Whiko NFT
Neo Tokyo Citizen V2,nft,nft,Neo Tokyo Citizen V2,Neo Tokyo Citizen V2
Sports Rollbots,nft,nft,Sports Rollbots,Sports Rollbots
Azuki Elemental Beans,nft,nft,Azuki Elemental Beans,Azuki Elemental Beans
Yakuza Pandas,nft,nft,Yakuza Pandas,Yakuza Pandas
DJENERATES - CLUBBING EDITION,nft,nft,DJENERATES - CLUBBING EDITION,DJENERATES - CLUBBING EDITION
Friendly Monsters Club NFT,nft,nft,Friendly Monsters Club NFT,Friendly Monsters Club NFT
KNPE Pixel Never Die,nft,nft,KNPE Pixel Never Die,KNPE Pixel Never Die
ALPHA PRESTIGE,nft,nft,ALPHA PRESTIGE,ALPHA PRESTIGE
Azuki,nft,nft,Azuki,Azuki
Veefriends,nft,nft,Veefriends,Veefriends
Otherdeed Expanded,nft,nft,Otherdeed Expanded,Otherdeed Expanded
VeeFriends Series 2,nft,nft,VeeFriends Series 2,VeeFriends Series 2
Hashmasks,nft,nft,Hashmasks,Hashmasks
MetaHero,nft,nft,MetaHero,MetaHero
Bit Bears,nft,nft,Bit Bears,Bit Bears
Pudgy Penguins,nft,nft,Pudgy Penguins,Pudgy Penguins
Staked Plot,nft,nft,Staked Plot,Staked Plot
Redacted Remilio Babies,nft,nft,Redacted Remilio Babies,Redacted Remilio Babies
Gutter Cat Gang,nft,nft,Gutter Cat Gang,Gutter Cat Gang
"SYLTARE, Dawn of East",nft,nft,"SYLTARE, Dawn of East","SYLTARE, Dawn of East"
Doodles,nft,nft,Doodles,Doodles
lotterygoblin,nft,nft,lotterygoblin,lotterygoblin
DeGods,nft,nft,DeGods,DeGods
Gods Unchained Cards,nft,nft,Gods Unchained Cards,Gods Unchained Cards
Hashflow (Official),nft,nft,Hashflow (Official),Hashflow (Official)
Vessel,nft,nft,Vessel,Vessel
Otherdeed for Otherside,nft,nft,Otherdeed for Otherside,Otherdeed for Otherside
Ether Cards Founder,nft,nft,Ether Cards Founder,Ether Cards Founder
Rollbots,nft,nft,Rollbots,Rollbots
A study of Zorbs,nft,nft,A study of Zorbs,A study of Zorbs
gego.dego,nft,nft,gego.dego,gego.dego
vVv Season 1,nft,nft,vVv Season 1,vVv Season 1
AnarKey,nft,nft,AnarKey,AnarKey
PUNKS Comic,nft,nft,PUNKS Comic,PUNKS Comic
DigiDaigaku,nft,nft,DigiDaigaku,DigiDaigaku
The Llamas,nft,nft,The Llamas,The Llamas
Realms (for Adventurers),nft,nft,Realms (for Adventurers),Realms (for Adventurers)
JRNY NFT Club,nft,nft,JRNY NFT Club,JRNY NFT Club
CryptoArte,nft,nft,CryptoArte,CryptoArte
NuoChip,nft,nft,NuoChip,NuoChip
MakersPlace,nft,nft,MakersPlace,MakersPlace
Nakamigos,nft,nft,Nakamigos,Nakamigos
Wolf Game - Wool Pouch,nft,nft,Wolf Game - Wool Pouch,Wolf Game - Wool Pouch
ODOS.xyz NFT Campaign,nft,nft,ODOS.xyz NFT Campaign,ODOS.xyz NFT Campaign
Cryptotoadz,nft,nft,Cryptotoadz,Cryptotoadz
TreeNFT,nft,nft,TreeNFT,TreeNFT
Kagami,nft,nft,Kagami,Kagami
VaynerSports Pass,nft,nft,VaynerSports Pass,VaynerSports Pass
Cheek,nft,nft,Cheek,Cheek
Somnium Space Land,nft,nft,Somnium Space Land,Somnium Space Land
Night Run by Matto (A film by Zora),nft,nft,Night Run by Matto (A film by Zora),Night Run by Matto (A film by Zora)
RealVisionProCryptoGenesis,nft,nft,RealVisionProCryptoGenesis,RealVisionProCryptoGenesis
GentsCroquetClub,nft,nft,GentsCroquetClub,GentsCroquetClub
GU: Genesis Board,nft,nft,GU: Genesis Board,GU: Genesis Board
Kaiju Kingz,nft,nft,Kaiju Kingz,Kaiju Kingz
Bright Moments,nft,nft,Bright Moments,Bright Moments
Art Blocks Explorations,nft,nft,Art Blocks Explorations,Art Blocks Explorations
Zero Name Service,nft,nft,Zero Name Service,Zero Name Service
Life In West America by Roope Rainisto,nft,nft,Life In West America by Roope Rainisto,Life In West America by Roope Rainisto
DEGEN TOONZ,nft,nft,DEGEN TOONZ,DEGEN TOONZ
Rumble Birds,nft,nft,Rumble Birds,Rumble Birds
Zora API Genesis Hackathon,nft,nft,Zora API Genesis Hackathon,Zora API Genesis Hackathon
Paragraph _ Highlight,nft,nft,Paragraph _ Highlight,Paragraph _ Highlight
Looki,nft,nft,Looki,Looki
Captainz,nft,nft,Captainz,Captainz
1INCH/USDC(1%),DEFi,LP,1INCH/USDC(1%),1INCH/USDC(1%)
1INCH/WETH(1%),DEFi,LP,1INCH/WETH(1%),1INCH/WETH(1%)
AAVE/WETH(0.3%),DEFi,LP,AAVE/WETH(0.3%),AAVE/WETH(0.3%)
ANT/WETH,DEFi,LP,ANT/WETH,ANT/WETH
AUDIO/WETH,DEFi,LP,AUDIO/WETH,AUDIO/WETH
BEND/WETH,DEFi,LP,BEND/WETH,BEND/WETH
BOTTO/WETH,DEFi,LP,BOTTO/WETH,BOTTO/WETH
CDS/WETH,DEFi,LP,CDS/WETH,CDS/WETH
COMP/WETH,DEFi,LP,COMP/WETH,COMP/WETH
CORE/WETH,DEFi,LP,CORE/WETH,CORE/WETH
DAI/WETH,DEFi,LP,DAI/WETH,DAI/WETH
DELTA/WETH,DEFi,LP,DELTA/WETH,DELTA/WETH
DG/WETH,DEFi,LP,DG/WETH,DG/WETH
DJ15/WETH,DEFi,LP,DJ15/WETH,DJ15/WETH
DOGE/WETH,DEFi,LP,DOGE/WETH,DOGE/WETH
DOG/WETH,DEFi,LP,DOG/WETH,DOG/WETH
ELON/WETH,DEFi,LP,ELON/WETH,ELON/WETH
ERN/WETH,DEFi,LP,ERN/WETH,ERN/WETH
EVN/WETH,DEFi,LP,EVN/WETH,EVN/WETH
FNSP/WETH,DEFi,LP,FNSP/WETH,FNSP/WETH
FXS/WETH,DEFi,LP,FXS/WETH,FXS/WETH
GNO/WETH,DEFi,LP,GNO/WETH,GNO/WETH
ILV/WETH,DEFi,LP,ILV/WETH,ILV/WETH
imBTC/WETH,DEFi,LP,imBTC/WETH,imBTC/WETH
KISHU/WETH,DEFi,LP,KISHU/WETH,KISHU/WETH
KOO/WETH,DEFi,LP,KOO/WETH,KOO/WETH
LINK/WETH,DEFi,LP,LINK/WETH,LINK/WETH
LINK/WETH,DEFi,LP,LINK/WETH,LINK/WETH
LON/WETH,DEFi,LP,LON/WETH,LON/WETH
MC/WETH,DEFi,LP,MC/WETH,MC/WETH
MILADY/WETH,DEFi,LP,MILADY/WETH,MILADY/WETH
MKR/WETH,DEFi,LP,MKR/WETH,MKR/WETH
MONGOOSE/WETH,DEFi,LP,MONGOOSE/WETH,MONGOOSE/WETH
OCEAN/WETH,DEFi,LP,OCEAN/WETH,OCEAN/WETH
PAXG/WETH,DEFi,LP,PAXG/WETH,PAXG/WETH
PNK/WETH,DEFi,LP,PNK/WETH,PNK/WETH
POLS/WETH,DEFi,LP,POLS/WETH,POLS/WETH
PUNK/WETH,DEFi,LP,PUNK/WETH,PUNK/WETH
QOM/WETH,DEFi,LP,QOM/WETH,QOM/WETH
RAI/WETH,DEFi,LP,RAI/WETH,RAI/WETH
RBIF/WETH,DEFi,LP,RBIF/WETH,RBIF/WETH
REQ/WETH,DEFi,LP,REQ/WETH,REQ/WETH
rETH/WETH,DEFi,LP,rETH/WETH,rETH/WETH
SAND/WETH(1%),DEFi,LP,SAND/WETH(1%),SAND/WETH(1%)
SHIDO/WETH,DEFi,LP,SHIDO/WETH,SHIDO/WETH
SPDR/WETH,DEFi,LP,SPDR/WETH,SPDR/WETH
SPS/WETH,DEFi,LP,SPS/WETH,SPS/WETH
STARL/WETH,DEFi,LP,STARL/WETH,STARL/WETH
stETH/WETH,DEFi,LP,stETH/WETH,stETH/WETH
SUSHI/WETH,DEFi,LP,SUSHI/WETH,SUSHI/WETH
SWFL/WETH,DEFi,LP,SWFL/WETH,SWFL/WETH
SYN/WETH,DEFi,LP,SYN/WETH,SYN/WETH
THOR/WETH,DEFi,LP,THOR/WETH,THOR/WETH
TOKE/WETH,DEFi,LP,TOKE/WETH,TOKE/WETH
UFO/WETH,DEFi,LP,UFO/WETH,UFO/WETH
UFT/WETH,DEFi,LP,UFT/WETH,UFT/WETH
UNI/USDC(0.3%),DEFi,LP,UNI/USDC(0.3%),UNI/USDC(0.3%)
UNI/WETH,DEFi,LP,UNI/WETH,UNI/WETH
UNI/WETH(0.3%),DEFi,LP,UNI/WETH(0.3%),UNI/WETH(0.3%)
USDC/WETH,DEFi,LP,USDC/WETH,USDC/WETH
UwU/WETH,DEFi,LP,UwU/WETH,UwU/WETH
VITA/WETH,DEFi,LP,VITA/WETH,VITA/WETH
WAGMIGAMES/WETH,DEFi,LP,WAGMIGAMES/WETH,WAGMIGAMES/WETH
WAXE/WETH,DEFi,LP,WAXE/WETH,WAXE/WETH
WBTC/WETH,DEFi,LP,WBTC/WETH,WBTC/WETH
WDOGE/WETH,DEFi,LP,WDOGE/WETH,WDOGE/WETH
___/WETH,DEFi,LP,___/WETH,___/WETH
WETH/ALCX,DEFi,LP,WETH/ALCX,WETH/ALCX
WETH/AMPL,DEFi,LP,WETH/AMPL,WETH/AMPL
WETH/BTRFLY(1%),DEFi,LP,WETH/BTRFLY(1%),WETH/BTRFLY(1%)
WETH/BTT,DEFi,LP,WETH/BTT,WETH/BTT
WETH/BTT(0.3%),DEFi,LP,WETH/BTT(0.3%),WETH/BTT(0.3%)
WETH/CAW,DEFi,LP,WETH/CAW,WETH/CAW
WETH/CRV(0.3%),DEFi,LP,WETH/CRV(0.3%),WETH/CRV(0.3%)
WETH/CRV(1%),DEFi,LP,WETH/CRV(1%),WETH/CRV(1%)
WETH/CUMINU,DEFi,LP,WETH/CUMINU,WETH/CUMINU
WETH/DETS,DEFi,LP,WETH/DETS,WETH/DETS
WETH/DEXT,DEFi,LP,WETH/DEXT,WETH/DEXT
WETH/ENS(0.3%),DEFi,LP,WETH/ENS(0.3%),WETH/ENS(0.3%)
WETH/ENS(1%),DEFi,LP,WETH/ENS(1%),WETH/ENS(1%)
WETH/ETHM(0.05%),DEFi,LP,WETH/ETHM(0.05%),WETH/ETHM(0.05%)
WETH/FLOOR(1%),DEFi,LP,WETH/FLOOR(1%),WETH/FLOOR(1%)
WETH/FOLD,DEFi,LP,WETH/FOLD,WETH/FOLD
WETH/FOOM(0.05%),DEFi,LP,WETH/FOOM(0.05%),WETH/FOOM(0.05%)
WETH/FOX,DEFi,LP,WETH/FOX,WETH/FOX
WETH/FPIS(1%),DEFi,LP,WETH/FPIS(1%),WETH/FPIS(1%)
WETH/GAIN,DEFi,LP,WETH/GAIN,WETH/GAIN
WETH/GTC(1%),DEFi,LP,WETH/GTC(1%),WETH/GTC(1%)
WETH/HEZ,DEFi,LP,WETH/HEZ,WETH/HEZ
WETH/IMX(1%),DEFi,LP,WETH/IMX(1%),WETH/IMX(1%)
WETH/INJ(0.3%),DEFi,LP,WETH/INJ(0.3%),WETH/INJ(0.3%)
WETH/JPEG,DEFi,LP,WETH/JPEG,WETH/JPEG
WETH/JPEG(1%),DEFi,LP,WETH/JPEG(1%),WETH/JPEG(1%)
WETH/LOOKS(0.3%),DEFi,LP,WETH/LOOKS(0.3%),WETH/LOOKS(0.3%)
WETH/LOOKS(1%),DEFi,LP,WETH/LOOKS(1%),WETH/LOOKS(1%)
WETH/LUNA(1%),DEFi,LP,WETH/LUNA(1%),WETH/LUNA(1%)
WETH/oSQTH(0.3%),DEFi,LP,WETH/oSQTH(0.3%),WETH/oSQTH(0.3%)
WETH/RAIL(1%),DEFi,LP,WETH/RAIL(1%),WETH/RAIL(1%)
WETH/RPL(0.3%),DEFi,LP,WETH/RPL(0.3%),WETH/RPL(0.3%)
WETH/RPL(1%),DEFi,LP,WETH/RPL(1%),WETH/RPL(1%)
WETH/RVF,DEFi,LP,WETH/RVF,WETH/RVF
WETH/SAITAMA,DEFi,LP,WETH/SAITAMA,WETH/SAITAMA
WETH/sETH2(0.3%),DEFi,LP,WETH/sETH2(0.3%),WETH/sETH2(0.3%)
WETH/SLP(0.3%),DEFi,LP,WETH/SLP(0.3%),WETH/SLP(0.3%)
WETH/SUPER,DEFi,LP,WETH/SUPER,WETH/SUPER
WETH/swETH(0.05%),DEFi,LP,WETH/swETH(0.05%),WETH/swETH(0.05%)
WETH/TAI(0.3%),DEFi,LP,WETH/TAI(0.3%),WETH/TAI(0.3%)
WETH/TRU(1%),DEFi,LP,WETH/TRU(1%),WETH/TRU(1%)
WETH/USD,DEFi,LP,WETH/USD,WETH/USD
WETH/USDT,DEFi,LP,WETH/USDT,WETH/USDT
WETH/USDT,DEFi,LP,WETH/USDT,WETH/USDT
WETH/USDT(0.05%),DEFi,LP,WETH/USDT(0.05%),WETH/USDT(0.05%)
WETH/USDT(0.3%),DEFi,LP,WETH/USDT(0.3%),WETH/USDT(0.3%)
WETH/USDT(1%),DEFi,LP,WETH/USDT(1%),WETH/USDT(1%)
WETH/UWL(1%),DEFi,LP,WETH/UWL(1%),WETH/UWL(1%)
WETH/WRLD(1%),DEFi,LP,WETH/WRLD(1%),WETH/WRLD(1%)
WETH/ZVT(0.3%),DEFi,LP,WETH/ZVT(0.3%),WETH/ZVT(0.3%)
WILD/WETH,DEFi,LP,WILD/WETH,WILD/WETH
WISE/WETH,DEFi,LP,WISE/WETH,WISE/WETH
WOO/WETH,DEFi,LP,WOO/WETH,WOO/WETH
wstETH/WETH,DEFi,LP,wstETH/WETH,wstETH/WETH
XFI/WETH,DEFi,LP,XFI/WETH,XFI/WETH
XXi/WETH,DEFi,LP,XXi/WETH,XXi/WETH
YAXIS/WETH,DEFi,LP,YAXIS/WETH,YAXIS/WETH
YFI/WETH,DEFi,LP,YFI/WETH,YFI/WETH
